# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
  538     1  10304   0.0 Ss   /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  539     1   9056   0.0 Ss   /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  541     1  11120   0.0 Ss   /usr/libexec/securityd_system
  543     1  12928   0.0 Ss   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  544     1  21872   0.0 Ss   /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  545     1   5744   0.0 S    /usr/sbin/distnoted
  546     1   9328   0.0 Ss   /usr/sbin/WirelessRadioManagerd
  547     1  22096   0.0 Ss   /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  548     1  24640   0.0 Ss   /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  550     1   3184   0.0 Ss   /usr/sbin/cron
  551     1  12576   0.0 Ss   /usr/libexec/findmybeaconingd
  552     1   8880   0.0 Ss   /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  556     1   4448   0.0 Ss   /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  557     1  10608   0.0 Ss   Core Audio Driver (Background Music Device.driver)
  559     1  19968   0.0 Ss   /usr/libexec/audiomxd
  560     1  23520   0.0 Ss   /usr/libexec/storagekitd
  561     1   7440   0.0 Ss   /usr/libexec/audioclocksyncd
  562     1   7648   0.0 Ss   /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  563     1  15856   0.0 Ss   Core Audio Driver (MSTeamsAudioDevice.driver)
  564     1  11872   0.0 Ss   /usr/libexec/mobileactivationd
  565     1 1764432 165.2 Rs   /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  567     1   6768   0.0 Ss   /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  568     1  19200   0.0 Ss   /usr/libexec/triald_system
  572     1  10160   0.0 Ss   Core Audio Driver (ParrotAudioPlugin.driver)
  574     1  21808   0.0 SNs  /Library/Application Support/Adobe/AdobeGCClient/AGSService
  578     1 208240   0.9 Ss   /Applications/Microsoft Defender.app/Contents/MacOS/wdavdaemon
  580     1 107488   0.0 Ss   /Applications/ExpressVPN.app/Contents/MacOS/expressvpnd
  582     1   2176   0.0 Ss   /opt/homebrew/bin/socat
  584     1  15696   0.0 Ss   /Library/PrivilegedHelperTools/com.docker.vmnetd
  585     1  60128   0.0 Ss   /Library/PrivilegedHelperTools/licenseDaemon.app/Contents/MacOS/licenseDaemon
  586     1  26976   0.6 Ss   /Library/SystemExtensions/65543A09-EE4F-490A-83C5-F16E3EBADE45/com.microsoft.wdav.epsext.systemextension/Contents/MacOS/epsext
  592     1  18784   0.0 S    /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  593     1   5792   0.0 S    /usr/sbin/distnoted
  594     1   5776   0.0 S    /usr/sbin/distnoted
  595     1   7968   0.0 Ss   /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  596     1 113840   0.0 Ss   /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  597     1  11632   0.0 Ss   /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  598     1   5856   0.0 S    /usr/sbin/distnoted
  599     1   3984   0.0 Ss   /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  600     1  32592   0.0 Ss   /usr/libexec/kernelmanager_helper
  601     1  45664   0.0 Ss   /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  602     1   4608   0.0 Ss   /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  603     1  10208   0.0 S    /usr/libexec/secinitd
  605     1   6832   0.0 S    /usr/sbin/cfprefsd
  606     1   7056   0.0 Ss   /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  607     1  13088   0.0 Ss   /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  608     1  14336   0.0 S    /usr/libexec/trustd
  609     1  11296   0.0 Ss   /usr/libexec/ospredictiond
  610     1   8512   0.0 Ss   /usr/libexec/cameracaptured
  611     1  12624   0.0 Ss   /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  613     1   7984   0.0 S    /usr/libexec/containermanagerd
  614     1   5280   0.0 Ss   /usr/libexec/colorsync.displayservices
  615     1   3472   0.0 Ss   /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  616     1   7264   0.0 Ss   /usr/libexec/colorsyncd
  617     1   9216   0.0 S    /usr/libexec/containermanagerd
  618     1   5744   0.0 S    /usr/sbin/distnoted
  620     1  13440   0.0 Ss   /System/Library/CoreServices/appleeventsd
  621     1  34304   0.0 Ss   /usr/libexec/searchpartyd
  623     1  10768   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  624     1   7216   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  625     1   8528   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  626     1  10720   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  627     1   9696   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  628     1   5840   0.0 S    /usr/sbin/distnoted
  629     1  15296   0.0 S    /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  630     1   8816   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  631     1   8416   0.0 Ss   /usr/libexec/bootinstalld
  632     1  13568   0.0 Ss   /usr/libexec/symptomsd-diag
  633     1   5712   0.0 S    /usr/sbin/distnoted
  637     1   9152   0.0 Ss   /usr/sbin/BTLEServer
  638     1  16160   0.0 Ss   /System/Library/CoreServices/SubmitDiagInfo
  639     1  11184   0.0 Ss   /System/Library/CoreServices/diagnosticservicesd
  641     1   5168   0.0 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  642     1  13920   0.0 Ss   /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  645     1   7792   0.0 Ss   /System/Library/CoreServices/TimeMachine/backupd-helper
  656     1  20688   0.0 Ss   /usr/libexec/wifip2pd
  661     1   6528   0.0 Ss   /usr/libexec/applekeystored
  663     1  16368   0.0 Ss   /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  664     1  18736   0.0 Ss   /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  665     1   9584   0.0 S    /usr/sbin/distnoted
  666     1  19552   0.0 Ss   /usr/libexec/findmydeviced
  667     1  23632   0.0 Ss   /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  668     1   7616   0.0 Ss   /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  669   578  63888   0.0 S    /Applications/Microsoft Defender.app/Contents/MacOS/wdavdaemon_enterprise.app/Contents/MacOS/wdavdaemon_enterprise
  670     1  51920   0.0 S    /usr/libexec/secd
  671   578 338368   6.7 S    /Applications/Microsoft Defender.app/Contents/MacOS/wdavdaemon_unprivileged.app/Contents/MacOS/wdavdaemon_unprivileged
  673     1   6640   0.0 Ss   /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  675     1   6672   0.1 Ss   /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  681     1   3968   0.0 Ss   /usr/libexec/sysmond
  689   359   8272   0.0 S    /usr/sbin/systemstats
  696     1  15792   0.0 S    /usr/sbin/cfprefsd
  702     1  15744   0.0 S    /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  703     1  28992   0.0 S    /usr/libexec/UserEventAgent
  704     1  12736   0.0 Ss   /usr/libexec/gamecontrollerd
  705     1  10384   0.0 Ss   /usr/libexec/seld
  706     1  14112   0.0 S    /usr/libexec/ContinuityCaptureAgent
  707     1   9328   0.0 Ss   /usr/libexec/uarpd
  708     1  43776   0.0 S    /usr/libexec/knowledge-agent
  710     1 126320   0.0 S    /Library/SystemExtensions/A2AC559E-5244-41C2-B028-3EE6676396B0/com.insta360.linkcontroller.camera-extension.systemextension/Contents/MacOS/com.insta360.linkcontroller.camera-extension
  711     1  40960   0.0 S    /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  712     1  11200   0.0 S    /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  713     1  24208   0.0 S    /usr/sbin/universalaccessd
  714     1  15168   0.0 S    /usr/libexec/pboard
  716     1  40352   0.0 S    /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  717     1  41344   0.0 S    /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  718     1   9312   0.0 S    /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  719     1  22624   0.0 S    /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  720     1  29664   0.0 S    /usr/libexec/lsd
  721     1  81872   0.0 S    /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  722     1  14560   0.0 S    /usr/libexec/containermanagerd
  723     1  49488   0.0 S    /usr/libexec/linkd
  724     1  13552   0.0 Ss   /usr/libexec/wifianalyticsd
  725     1  21952   0.0 S    /usr/libexec/secinitd
  726     1  21200   0.0 S    /usr/libexec/neagent
  727     1  23712   0.0 S    /usr/libexec/trustd
  728     1  38944   0.0 S    /usr/sbin/usernoted
  729     1  69232   0.0 S    /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  730     1   5680   0.0 S    /System/Library/CoreServices/APFSUserAgent
  731     1  48288   0.0 S    /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
